City,Country,Year,Population
Sofia,Bulgaria,1950.0,520000.0
Mandalay,Myanmar,1950.0,170000.0
Nay Pyi Taw,Myanmar,1950.0,0.0
Yangon,Myanmar,1950.0,1300000.0
Minsk,Belarus,1950.0,280000.0
Phnum Pnh,Cambodia,1950.0,360000.0
El Djazar,Algeria,1950.0,520000.0
Wahran,Algeria,1950.0,270000.0
Douala,Cameroon,1950.0,100000.0
Yaound,Cameroon,1950.0,30000.0
Calgary,Canada,1950.0,130000.0
Edmonton,Canada,1950.0,160000.0
Montral,Canada,1950.0,1340000.0
Ottawa-Gatineau,Canada,1950.0,280000.0
Toronto,Canada,1950.0,1070000.0
Vancouver,Canada,1950.0,560000.0
N'Djamna,Chad,1950.0,20000.0
Santiago,Chile,1950.0,1320000.0
Valparaso,Chile,1950.0,330000.0
"Anshan, Liaoning",China,1950.0,480000.0
Anshun,China,1950.0,190000.0
Anyang,China,1950.0,110000.0
Baoding,China,1950.0,180000.0
Baotou,China,1950.0,530000.0
Beijing,China,1950.0,4330000.0
Bengbu,China,1950.0,230000.0
Benxi,China,1950.0,410000.0
Changchun,China,1950.0,760000.0
Changde,China,1950.0,290000.0
"Changsha, Hunan",China,1950.0,620000.0
"Changzhou, Jiangsu",China,1950.0,110000.0
Chengdu,China,1950.0,770000.0
Chifeng,China,1950.0,130000.0
Chongqing,China,1950.0,1680000.0
Dalian,China,1950.0,680000.0
Dandong,China,1950.0,240000.0
Daqing,China,1950.0,260000.0
"Datong, Shanxi",China,1950.0,620000.0
"Dongguan, Guangdong",China,1950.0,380000.0
Foshan,China,1950.0,90000.0
"Fushun, Liaoning",China,1950.0,630000.0
Fuxin,China,1950.0,170000.0
Fuyang,China,1950.0,50000.0
"Fuzhou, Fujian",China,1950.0,490000.0
"Guangzhou, Guangdong",China,1950.0,1490000.0
Guilin,China,1950.0,150000.0
Guiyang,China,1950.0,680000.0
Haerbin,China,1950.0,1010000.0
Handan,China,1950.0,380000.0
Hangzhou,China,1950.0,640000.0
Hefei,China,1950.0,260000.0
Hengyang,China,1950.0,170000.0
Heze,China,1950.0,380000.0
Hohhot,China,1950.0,320000.0
Huai'an,China,1950.0,830000.0
Huaibei,China,1950.0,210000.0
